Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,Year,Month,Date,Hour,TimeOfDay,Season
1/1/2017 13:00,15.68,57.071666666666665,0.076666667,498.1,40.94,181391.3924,110268.693,103789.8795,2017,1,1,13,2,4
1/1/2017 14:00,15.766666666666666,55.63666666666666,0.0765,476.1,39.49,179392.4051,108594.5289,101239.51808000001,2017,1,1,14,2,4
1/1/2017 15:00,15.558333333333332,58.19166666666666,0.074833333,409,44.9,175309.3671,106336.7781,99568.19277,2017,1,1,15,2,4
1/1/2017 16:00,15.471666666666666,58.291666666666664,0.076,209.1,128.9,172380.7595,105020.0608,98330.6024,2017,1,1,16,2,4
1/1/2017 17:00,15.146666666666667,59.93333333333334,0.0785,165.8,201.7,206539.7468,126568.99695999999,133653.9759,2017,1,1,17,2,4
1/1/2017 18:00,14.013333333333334,65.27333333333333,0.077333333,18,18.29,237715.44303999998,146170.2128,154374.9398,2017,1,1,18,3,4
1/1/2017 19:00,11.81,70.20833333333333,0.0775,0.055,0.085,241913.9241,148154.4073,157116.1446,2017,1,1,19,3,4
1/1/2017 20:00,11.69,70.88333333333334,0.077166667,0.073,0.085,242229.8734,152436.4742,158960.9639,2017,1,1,20,3,4
1/1/2017 21:00,11.748333333333333,70.82666666666667,0.075333333,0.051,0.07,232277.46834999998,149018.845,152067.4699,2017,1,1,21,3,4
1/1/2017 22:00,12.791666666666666,66.20666666666666,0.074333333,0.04,0.141,209832.9114,138404.8632,135493.012,2017,1,1,22,3,4
1/1/2017 23:00,11.711666666666666,72.50666666666666,0.075,0.088,0.082,180437.4684,120634.6505,117472.7711,2017,1,1,23,3,4
2/1/2017 0:00,10.666666666666666,78.03333333333333,0.076666667,0.033,0.163,151819.74683000002,102047.4164,101308.9157,2017,1,2,0,3,4
2/1/2017 1:00,10.703333333333333,78.91666666666667,0.076166667,0.084,0.108,135074.4304,89463.8298,90477.10843,2017,1,2,1,3,4
2/1/2017 2:00,11.031666666666666,76.75,0.077833333,0.066,0.159,125674.93669999999,83015.19758000001,84994.69879,2017,1,2,2,3,4
2/1/2017 3:00,10.568333333333333,79.26666666666667,0.0775,0.062,0.159,120583.2911,80797.56839,82768.19277,2017,1,2,3,3,4
2/1/2017 4:00,10.253333333333334,81.93333333333334,0.076166667,0.059,0.159,120401.0127,79491.7933,81628.91567,2017,1,2,4,3,4
2/1/2017 5:00,9.729999999999999,83.55,0.077,0.029,0.163,125030.88607000001,83463.82979,84312.28916,2017,1,2,5,3,4
2/1/2017 6:00,9.336666666666668,84.64999999999999,0.076,0.048,0.134,139844.0506,92089.9696,87926.74699,2017,1,2,6,1,4
2/1/2017 7:00,9.543333333333335,84.9,0.077333333,0.073,0.163,137371.1392,94256.53495,77181.68674,2017,1,2,7,1,4
2/1/2017 8:00,8.873333333333333,83.91666666666667,0.081833333,0.124,0.223,146211.6456,98498.48024,71745.54218,2017,1,2,8,1,4
2/1/2017 9:00,9.488333333333333,86.11666666666667,0.079833333,64.11,24.49,147031.8987,109145.2888,81235.66266,2017,1,2,9,1,4
2/1/2017 10:00,12.865,74.43666666666667,0.076666667,218.3,39.07,158308.8608,119682.6748,92310.36146,2017,1,2,10,1,4
2/1/2017 11:00,15.049999999999999,58.00833333333333,0.076166667,360.7,41.43,169348.8608,124982.3708,99070.84338,2017,1,2,11,1,4
2/1/2017 12:00,15.168333333333335,58.125,0.076,452.5,41.73,177490.6329,119704.5593,109197.1084,2017,1,2,12,2,4
2/1/2017 13:00,15.306666666666667,59.30833333333334,0.076333333,487.1,44.09,176913.4177,117432.2188,113679.0361,2017,1,2,13,2,4
2/1/2017 14:00,15.563333333333333,55.98666666666667,0.075666667,470.9,42.8,171669.8734,120970.2128,109648.1928,2017,1,2,14,2,4
2/1/2017 15:00,15.475,57.26333333333333,0.0755,399.4,40.61,173826.8354,128013.37385999999,99065.06023,2017,1,2,15,2,4
2/1/2017 16:00,15.238333333333335,60.76333333333333,0.076,280.3,184,179981.7722,123848.0243,98081.92772,2017,1,2,16,2,4
2/1/2017 17:00,14.966666666666667,61.64166666666667,0.077333333,142.6,175,222136.7089,146859.5745,134689.15662999998,2017,1,2,17,2,4
2/1/2017 18:00,14.206666666666665,65.69166666666666,0.076,11.04,11.2,250487.08860000002,161927.0517,153044.8193,2017,1,2,18,3,4
2/1/2017 19:00,13.523333333333333,69.69500000000001,0.0755,0.066,0.1,248992.40506999998,161146.5046,153270.3615,2017,1,2,19,3,4
2/1/2017 20:00,13.411666666666667,68.645,0.075166667,0.055,0.096,246580.25316999998,160694.2249,153854.4578,2017,1,2,20,3,4
2/1/2017 21:00,13.125,66.96166666666666,0.075333333,0.048,0.078,236767.5949,155248.6322,150014.4578,2017,1,2,21,3,4
2/1/2017 22:00,12.876666666666667,68.675,0.074666667,0.084,0.093,214985.31644999998,141293.617,137037.1084,2017,1,2,22,3,4
2/1/2017 23:00,12.473333333333334,71.71666666666667,0.074833333,0.077,0.1,180674.4304,122239.51368999999,119647.2289,2017,1,2,23,3,4
3/1/2017 0:00,11.840000000000002,75.53333333333333,0.074833333,0.117,0.093,151619.2405,104217.6292,102193.735,2017,1,3,0,3,4
3/1/2017 1:00,12.131666666666668,72.56666666666666,0.0765,0.062,0.145,135821.7722,91302.12766,91142.16868,2017,1,3,1,3,4
3/1/2017 2:00,11.788333333333334,73.88333333333334,0.076833333,0.095,0.134,128226.8355,84452.27962,85387.9518,2017,1,3,2,3,4
3/1/2017 3:00,12.206666666666665,73.93333333333334,0.076166667,0.055,0.156,123347.8481,81975.68389,82253.49398,2017,1,3,3,3,4
3/1/2017 4:00,11.443333333333333,76.35,0.0795,0.077,0.156,120698.7342,81767.78116,81547.95181,2017,1,3,4,3,4
3/1/2017 5:00,10.844999999999999,79.78333333333333,0.078166667,0.048,0.189,126209.6203,84200.60791,84341.20482,2017,1,3,5,3,4
3/1/2017 6:00,11.096666666666666,77.66666666666667,0.078166667,0.102,0.122,144631.8987,93982.97872,87631.80723,2017,1,3,6,1,4
3/1/2017 7:00,9.67,81.46666666666665,0.078666667,0.055,0.193,145227.3418,97371.42856999999,78014.45783,2017,1,3,7,1,4
3/1/2017 8:00,8.571666666666667,84.16666666666667,0.080833333,0.146,0.223,150871.8987,100949.5441,73185.54216,2017,1,3,8,1,4
3/1/2017 9:00,9.218333333333334,85.05,0.082833333,64.8,27.42,170126.58226999998,112843.769,82288.19277,2017,1,3,9,1,4
3/1/2017 10:00,13.418333333333335,75.48333333333333,0.080833333,220.3,41.27,187145.3165,122079.0274,88661.20483,2017,1,3,10,1,4
3/1/2017 11:00,14.903333333333334,66.10666666666667,0.080166667,361.2,43.97,198391.8987,127874.772,94883.85542,2017,1,3,11,1,4
3/1/2017 12:00,15.253333333333332,64.24333333333334,0.074333333,452.5,44.71,203993.9241,130613.9818,99151.80722,2017,1,3,12,2,4
3/1/2017 13:00,15.443333333333333,63.03666666666667,0.074833333,492.7,44.55,201739.74683000002,129279.02736000001,100950.3615,2017,1,3,13,2,4
3/1/2017 14:00,15.421666666666667,64.19,0.074,472.9,45.01,194460.7595,129625.5319,99186.50602,2017,1,3,14,2,4
3/1/2017 15:00,15.408333333333333,64.98,0.075,401.3,43.02,193762.0253,128436.4742,98885.78314,2017,1,3,15,2,4
3/1/2017 16:00,15.19,67.07833333333333,0.075,283.3,215.7,192540.7595,127010.33436000001,99724.33735,2017,1,3,16,2,4
3/1/2017 17:00,14.775,66.21499999999999,0.075,131.7,166.5,226973.1646,148132.5228,132832.7711,2017,1,3,17,2,4
3/1/2017 18:00,13.658333333333333,72.76,0.075333333,11.76,11.93,256611.6456,163466.2614,153831.3253,2017,1,3,18,3,4
3/1/2017 19:00,11.266666666666666,80.03333333333333,0.076,0.066,0.111,255281.0127,162806.079,154826.0241,2017,1,3,19,3,4
3/1/2017 20:00,10.1,82.85000000000001,0.075833333,0.055,0.093,253470.3797,162561.7021,156474.2169,2017,1,3,20,3,4
3/1/2017 21:00,9.32,83.71666666666667,0.073833333,0.055,0.082,241166.5823,157754.4073,151090.1205,2017,1,3,21,3,4
3/1/2017 22:00,8.938333333333334,83.86666666666666,0.0735,0.073,0.089,215769.11391999997,142953.1915,139263.6145,2017,1,3,22,3,4
3/1/2017 23:00,8.491666666666667,84.60000000000001,0.075,0.062,0.104,182904.3038,122589.6657,119647.2289,2017,1,3,23,3,4
4/1/2017 0:00,8.523333333333333,82.83333333333333,0.075666667,0.062,0.104,157628.3544,105596.3526,103639.5181,2017,1,4,0,3,4
4/1/2017 1:00,8.223333333333334,81.86666666666667,0.075166667,0.037,0.1,139485.56962999998,90616.41338,92466.50601,2017,1,4,1,3,4
4/1/2017 2:00,7.955000000000001,81.56666666666666,0.076,0.059,0.119,132042.53162999998,83332.5228,86353.73494,2017,1,4,2,3,4
4/1/2017 3:00,7.715,80.89999999999999,0.075833333,0.066,0.07,127977.7215,80516.71733,83577.83133,2017,1,4,3,3,4
4/1/2017 4:00,6.592,83.7,0.086,0.084,0.122,121440,79768.99697,82687.22892,2017,1,4,4,3,4
4/1/2017 5:00,5.985833333333333,86.75,0.085166667,0.062,0.1,128105.3165,83679.02735,85330.12048,2017,1,4,5,3,4
4/1/2017 6:00,5.491333333333333,87.33333333333333,0.085333333,0.07,0.122,145664.8101,92899.69605,89360.96385,2017,1,4,6,1,4
4/1/2017 7:00,5.435666666666666,87.36666666666667,0.088666667,0.051,0.122,145725.5696,95208.51065,78309.39759000001,2017,1,4,7,1,4
4/1/2017 8:00,4.9695,87.41666666666667,0.087333333,0.146,0.226,151692.1519,99304.55927,71751.3253,2017,1,4,8,1,4
4/1/2017 9:00,5.240333333333333,86.26666666666667,0.087666667,70.5,26.46,169610.1266,114641.9453,83363.85541,2017,1,4,9,1,4
4/1/2017 10:00,6.7595,82.01666666666667,0.0905,220.3,39.42,180862.7848,126904.55926000001,91356.14457,2017,1,4,10,1,4
4/1/2017 11:00,9.36,77.28333333333333,0.089833333,354.4,40.51,196872.9114,131292.4012,97677.10843,2017,1,4,11,1,4
4/1/2017 12:00,12.806666666666667,66.39166666666667,0.086333333,466.4,37.49,204838.481,132262.614,99585.54217,2017,1,4,12,2,4
4/1/2017 13:00,15.695,59.225,0.085333333,505.9,36.35,200014.1772,131117.3252,101233.7349,2017,1,4,13,2,4
4/1/2017 14:00,17.49,53.120000000000005,0.078833333,485.9,38.87,195153.4177,129497.8723,99371.56627000001,2017,1,4,14,2,4
4/1/2017 15:00,17.275,59.46666666666667,0.075,409.7,44.91,193901.7722,129446.8085,97428.43374000001,2017,1,4,15,2,4
4/1/2017 16:00,17.363333333333333,60.99666666666667,0.0765,291,252.317,189691.1392,126032.8268,96416.38554,2017,1,4,16,2,4
4/1/2017 17:00,16.555,64.88333333333334,0.074166667,134.8,165.7,222659.2405,146680.85106000002,131005.3012,2017,1,4,17,2,4
4/1/2017 18:00,13.700000000000001,74.38333333333334,0.077666667,11.43,11.56,259297.2152,164782.9787,153507.4699,2017,1,4,18,3,4
4/1/2017 19:00,12.93,75.68833333333333,0.0825,0.051,0.104,256891.1392,163590.2736,154236.1446,2017,1,4,19,3,4
4/1/2017 20:00,13.488333333333335,67.88,0.086166667,0.095,0.082,254296.7089,163189.0577,155080.4819,2017,1,4,20,3,4
4/1/2017 21:00,12.156666666666666,70.89999999999999,0.084,0.044,0.122,241361.0127,157178.1155,151546.988,2017,1,4,21,3,4
4/1/2017 22:00,10.633333333333333,75.60000000000001,0.084,0.077,0.148,218491.1392,143270.5167,138968.6747,2017,1,4,22,3,4
4/1/2017 23:00,9.883333333333335,77.2,0.084333333,0.073,0.13,185632.4051,123888.1459,120757.5904,2017,1,4,23,3,4
5/1/2017 0:00,8.998333333333333,78.98333333333333,0.085666667,0.048,0.119,155878.481,105625.5319,103333.0121,2017,1,5,0,3,4
5/1/2017 1:00,8.255,80.13333333333334,0.085666667,0.091,0.108,137352.9114,92111.85411,92911.80724,2017,1,5,1,3,4
5/1/2017 2:00,7.793333333333333,80.83333333333333,0.085333333,0.077,0.111,129022.7848,83157.44681,86573.49399,2017,1,5,2,3,4
5/1/2017 3:00,7.545000000000001,79.55,0.082833333,0.077,0.145,126452.6582,80739.20972,83687.71084,2017,1,5,3,3,4
5/1/2017 4:00,7.0328333333333335,78.68333333333334,0.0855,0.066,0.152,125188.8608,80615.19758000001,82895.42168,2017,1,5,4,3,4
5/1/2017 5:00,7.07,76.63333333333334,0.084166667,0.077,0.148,129715.4431,84601.82371,85532.53013,2017,1,5,5,3,4
5/1/2017 6:00,6.904166666666666,73.95,0.085,0.062,0.1,143951.3924,93122.18845,89968.19277,2017,1,5,6,1,4
5/1/2017 7:00,6.051333333333333,79.89999999999999,0.087166667,0.066,0.141,145871.3924,95339.81763,77054.45782,2017,1,5,7,1,4
5/1/2017 8:00,5.7459999999999996,82.11666666666666,0.085666667,0.187,0.26,151995.9494,100814.5897,71994.21687,2017,1,5,8,1,4
5/1/2017 9:00,6.192,74.8,0.083833333,75.1,25.83,170460.75950000001,112964.1338,81652.04819,2017,1,5,9,1,4
5/1/2017 10:00,8.238333333333333,65.66,0.085666667,227.2,34.92,184447.5949,121933.1307,89470.84337,2017,1,5,10,1,4
5/1/2017 11:00,11.195,61.315,0.085,365.7,44.35,195250.6329,126846.2006,96017.3494,2017,1,5,11,1,4
5/1/2017 12:00,14.716666666666667,60.07333333333333,0.084166667,459.9,46.63,200275.4431,130694.2249,98897.34939,2017,1,5,12,2,4
5/1/2017 13:00,16.656666666666666,58.471666666666664,0.083166667,494.6,53.51,201490.6329,130256.53495999999,102696.8675,2017,1,5,13,2,4
5/1/2017 14:00,17.565,56.48499999999999,0.084,470.4,62.08,196174.1772,129698.4803,101661.6867,2017,1,5,14,2,4
5/1/2017 15:00,18.218333333333334,53.333333333333336,0.087833333,392.7,70.2,191957.4683,128888.7538,97561.44578,2017,1,5,15,2,4
5/1/2017 16:00,17.198333333333334,51.955000000000005,0.077,212.4,208.6,190280.5063,126813.3739,96040.48194,2017,1,5,16,2,4
5/1/2017 17:00,16.028333333333332,57.43,0.0765,126.4,150.3,224384.8101,146950.7599,130612.0482,2017,1,5,17,2,4
5/1/2017 18:00,14.163333333333334,63.794999999999995,0.087833333,17.81,18.68,261435.9494,163710.6383,154351.8072,2017,1,5,18,3,4
5/1/2017 19:00,12.511666666666665,69.78666666666668,0.075333333,0.051,0.126,260372.6582,163065.0456,153750.3615,2017,1,5,19,3,4
5/1/2017 20:00,11.200000000000001,75.35000000000001,0.079,0.055,0.108,257729.62024999998,162003.6474,154322.8916,2017,1,5,20,3,4
5/1/2017 21:00,11.446666666666665,79.89999999999999,0.085833333,0.055,0.104,243366.076,155635.2584,149939.2771,2017,1,5,21,3,4
5/1/2017 22:00,10.531666666666666,82.11666666666666,0.086,0.062,0.089,221298.2279,144087.538,139766.747,2017,1,5,22,3,4
5/1/2017 23:00,9.536666666666667,83.71666666666667,0.085333333,0.07,0.122,191264.8101,125212.1581,122949.3976,2017,1,5,23,3,4
6/1/2017 0:00,8.873333333333333,85.46666666666665,0.083833333,0.07,0.145,163035.9494,107285.1064,104026.98793999999,2017,1,6,0,3,4
6/1/2017 1:00,8.508333333333333,86.31666666666666,0.085666667,0.059,0.13,143811.6456,93570.82066,92576.38554999999,2017,1,6,1,3,4
6/1/2017 2:00,8.076666666666666,87.2,0.0835,0.077,0.171,133749.87342000002,86753.79939,87070.84337,2017,1,6,2,3,4
6/1/2017 3:00,8.33,87,0.0875,0.059,0.152,131167.5949,83759.27051,84560.96386,2017,1,6,3,3,4
6/1/2017 4:00,8.02,88.18333333333334,0.087,0.062,0.215,128718.98733999999,83182.97872,83612.53012,2017,1,6,4,3,4
6/1/2017 5:00,8.341666666666667,88.55,0.0825,0.04,0.156,131927.0886,87016.41338,86382.6506,2017,1,6,5,3,4
6/1/2017 6:00,8.676666666666668,86.63333333333333,0.084,0.07,0.111,143246.5823,95463.82979,89187.46988,2017,1,6,6,1,4
6/1/2017 7:00,9.373333333333333,82.64999999999999,0.084,0.04,0.152,141678.9874,96255.31915,75834.21686,2017,1,6,7,1,4
6/1/2017 8:00,8.961666666666666,82.61666666666666,0.085,0.106,0.23,149365.0633,100789.05774999999,71606.74698,2017,1,6,8,1,4
6/1/2017 9:00,10.068333333333333,79.26666666666667,0.085333333,78.7,52.65,169525.0633,112975.076,81374.45784,2017,1,6,9,1,4
6/1/2017 10:00,11.366666666666667,74.03333333333333,0.084333333,114.3,110.2,188184.3038,123479.63524999999,89071.80724,2017,1,6,10,1,4
6/1/2017 11:00,12.486666666666666,71.57166666666667,0.086666667,140.9,138.8,199582.7848,131963.5258,95757.10843,2017,1,6,11,1,4
6/1/2017 12:00,14.395000000000001,66.94,0.085166667,210,197,193689.1139,130300.304,99539.27711,2017,1,6,12,2,4
6/1/2017 13:00,15.365,64.78166666666667,1.5475,332.7,252.317,195499.7468,130508.2067,100042.4097,2017,1,6,13,2,4
6/1/2017 14:00,15.71,62.37166666666667,0.085166667,215.8,222,192996.4557,129111.2462,97098.79517,2017,1,6,14,2,4
6/1/2017 15:00,15.478333333333333,65.99833333333333,0.084166667,181.4,183.2,189393.4177,129786.0182,96046.26506,2017,1,6,15,2,4
6/1/2017 16:00,15.280000000000001,67.58333333333333,0.082,143.1,142.8,190596.4557,127655.9271,94826.02409,2017,1,6,16,2,4
6/1/2017 17:00,14.956666666666665,70.25666666666666,0.084833333,62.09,62.59,224008.1013,145035.8663,127437.10843000001,2017,1,6,17,2,4
6/1/2017 18:00,14.133333333333333,75.38333333333334,0.085666667,13.38,13.36,257547.3418,163097.8723,149459.2771,2017,1,6,18,3,4
6/1/2017 19:00,13.556666666666667,75.13333333333334,0.085666667,0.084,0.082,253488.6076,160624.924,151743.6145,2017,1,6,19,3,4
6/1/2017 20:00,13.065,75.56666666666666,0.0855,0.022,0.111,251520.00001000002,159348.3283,153160.4819,2017,1,6,20,3,4
6/1/2017 21:00,12.518333333333333,77.41666666666667,0.086166667,0.07,0.122,240923.5443,155153.7994,148678.5542,2017,1,6,21,3,4
6/1/2017 22:00,12.436666666666667,77.76666666666667,0.086,0.055,0.122,219092.6582,142519.149,136886.747,2017,1,6,22,3,4
6/1/2017 23:00,12.466666666666667,75.5,0.085666667,0.037,0.167,189812.6582,124489.9696,121295.4217,2017,1,6,23,3,4
7/1/2017 0:00,12.213333333333333,75.81666666666666,0.084666667,0.055,0.141,163163.5443,106770.8207,104391.3253,2017,1,7,0,3,4
7/1/2017 1:00,11.646666666666667,77.88333333333333,0.087666667,0.059,0.145,143769.1139,93658.35865,93091.08435,2017,1,7,1,3,4
7/1/2017 2:00,10.716666666666667,81.13333333333334,0.087833333,0.051,0.13,135530.1266,86297.87234,87712.77108,2017,1,7,2,3,4
7/1/2017 3:00,10.476666666666667,81.36666666666666,0.086666667,0.044,0.137,131094.68355000002,83208.51062,85278.07229000001,2017,1,7,3,3,4
7/1/2017 4:00,9.52,84.14999999999999,0.087666667,0.073,0.111,129016.7089,82818.23707999999,84277.59037,2017,1,7,4,3,4
7/1/2017 5:00,9.328333333333333,83.9,0.087,0.062,0.159,132802.02532000002,85951.36778,88412.53010999999,2017,1,7,5,3,4
7/1/2017 6:00,8.71,84.36666666666666,0.087166667,0.051,0.137,142268.3544,91422.49239,91055.42167,2017,1,7,6,1,4
7/1/2017 7:00,8.426666666666668,85.25,0.088833333,0.048,0.152,138574.1772,84361.09422,76134.93975,2017,1,7,7,1,4
7/1/2017 8:00,8.413333333333334,84.63333333333334,0.0905,0.073,0.223,147457.21519000002,90528.87538,70490.60241,2017,1,7,8,1,4
7/1/2017 9:00,8.643333333333333,83,0.087666667,76.5,51.8,178420.2532,100402.4316,81831.3253,2017,1,7,9,1,4
7/1/2017 10:00,10.286666666666667,78.83333333333333,0.090666667,222.1,54.29,194782.78480999998,117541.6413,92426.02408999999,2017,1,7,10,1,4
7/1/2017 11:00,12.746666666666668,72,0.091166667,341.1,60.48,202632.9114,126510.63829999999,99215.42168999999,2017,1,7,11,1,4
7/1/2017 12:00,14.575000000000001,67.71833333333333,0.086,429.1,81.3,204200.5063,129275.3799,103327.2289,2017,1,7,12,2,4
7/1/2017 13:00,14.928333333333333,61.946666666666665,0.077666667,333.3,211.5,200919.4937,126988.4498,104171.56627000001,2017,1,7,13,2,4
7/1/2017 14:00,14.791666666666666,63.278333333333336,0.0765,182.6,171.7,194570.1266,123505.1672,104865.5422,2017,1,7,14,2,4
7/1/2017 15:00,15.155000000000001,66.37166666666667,0.075333333,163.5,133.5,188804.0506,119555.0152,104246.747,2017,1,7,15,2,4
7/1/2017 16:00,15.336666666666666,65.35833333333333,0.0765,282.8,252.317,183675.9494,118096.0486,104373.97591000001,2017,1,7,16,2,4
7/1/2017 17:00,14.748333333333333,67.66166666666668,0.074,87.9,98.9,217397.46834999998,138791.4894,134290.1205,2017,1,7,17,2,4
7/1/2017 18:00,13.701666666666668,72.59166666666667,0.076166667,14.88,15.12,249502.7848,156342.8572,154953.253,2017,1,7,18,3,4
7/1/2017 19:00,11.993333333333334,79.13333333333334,0.077333333,0.059,0.1,245079.4937,154413.3739,155178.7952,2017,1,7,19,3,4
7/1/2017 20:00,12.47,78.75,0.077166667,0.044,0.119,243894.6835,150820.66869000002,153177.8313,2017,1,7,20,3,4
7/1/2017 21:00,13.07,77.16666666666667,0.076666667,0.059,0.134,235364.0506,147209.7264,150373.0121,2017,1,7,21,3,4
7/1/2017 22:00,13.023333333333333,78.31666666666666,0.078,0.048,0.122,216151.89873000002,137091.79333000001,140703.6144,2017,1,7,22,3,4
7/1/2017 23:00,13.530000000000001,78.58333333333333,0.0815,0.055,0.13,189156.4557,120787.8419,125997.10844000001,2017,1,7,23,3,4
8/1/2017 0:00,14.273333333333333,77.91666666666667,0.088,0.048,0.13,159803.5443,104527.65957999999,107230.8434,2017,1,8,0,3,4
8/1/2017 1:00,14.441666666666668,76.61666666666666,0.091,0.044,0.148,141843.038,92954.40729,96346.98796,2017,1,8,1,3,4
8/1/2017 2:00,14.216666666666667,74.18333333333334,0.0885,0.04,0.141,130906.32912000001,84434.04256,90130.12048,2017,1,8,2,3,4
8/1/2017 3:00,13.99,73.14999999999999,0.0865,0.044,0.141,124988.3544,79444.37689,87001.44579,2017,1,8,3,3,4
8/1/2017 4:00,13.505,76.13333333333334,0.092,0.062,0.111,124131.6456,77861.39818,85202.89156,2017,1,8,4,3,4
8/1/2017 5:00,13.243333333333334,72.96666666666667,0.093,0.055,0.141,126027.3418,78601.82371,87429.39759000001,2017,1,8,5,3,4
8/1/2017 6:00,13.255,70.705,0.0895,0.044,0.141,135268.8608,82796.35259,89152.77108,2017,1,8,6,1,4
8/1/2017 7:00,13.625,68.61333333333333,0.090166667,0.088,0.145,119033.9241,71077.20365,70716.14458,2017,1,8,7,1,4
8/1/2017 8:00,12.648333333333333,69.17166666666667,0.088333333,0.113,0.178,126920.5063,74651.67172,66945.54216,2017,1,8,8,1,4
8/1/2017 9:00,13.746666666666668,65.53166666666667,0.089,51.31,36.6,150963.038,78725.83585999999,79737.83133,2017,1,8,9,1,4
8/1/2017 10:00,14.601666666666667,64.75,0.0795,104.6,93.5,179246.5823,87895.44074,91668.43374,2017,1,8,10,1,4
8/1/2017 11:00,15.371666666666668,61.49666666666667,0.078166667,308.3,168.4,193154.43037000002,99636.47417,99660.7229,2017,1,8,11,1,4
8/1/2017 12:00,16.005,56.315,0.077666667,304.2,90.9,197468.3544,102937.386,104680.48191999999,2017,1,8,12,2,4
8/1/2017 13:00,16.073333333333334,56.76666666666667,0.077666667,230.3,105.1,199680,102251.6717,106681.4458,2017,1,8,13,2,4
8/1/2017 14:00,15.858333333333334,58.21333333333334,0.077,175.5,104.2,194357.4684,101777.5076,105646.2651,2017,1,8,14,2,4
8/1/2017 15:00,15.726666666666667,60.185,0.075833333,139.7,85.6,188190.3798,99264.43768,102066.506,2017,1,8,15,2,4
8/1/2017 16:00,15.723333333333334,62.775,0.074833333,191.5,200.8,182679.4937,103108.8146,101736.86746000001,2017,1,8,16,2,4
8/1/2017 17:00,15.753333333333332,66.39833333333333,0.075,196.8,227.2,209474.43037000002,124548.3283,132011.5663,2017,1,8,17,2,4
8/1/2017 18:00,15.26,72,0.069,26.82,28.13,244137.72152000002,144277.2036,152200.4819,2017,1,8,18,3,4
8/1/2017 19:00,15.191666666666668,73.53333333333333,0.071666667,0.048,0.085,249150.3798,148070.5167,153796.6265,2017,1,8,19,3,4
8/1/2017 20:00,15.243333333333334,74.25,0.074166667,0.066,0.111,246574.1772,148256.535,152877.1085,2017,1,8,20,3,4
8/1/2017 21:00,15.283333333333333,75.3,0.073666667,0.084,0.119,237539.24049999999,145086.9301,147365.7831,2017,1,8,21,3,4
8/1/2017 22:00,15.143333333333333,78.33333333333333,0.075833333,0.051,0.104,214578.2279,132517.9331,135527.7109,2017,1,8,22,3,4
8/1/2017 23:00,15.211666666666666,73.31666666666666,0.075333333,0.073,0.126,180510.3798,115137.9939,118912.7711,2017,1,8,23,3,4
9/1/2017 0:00,15.078333333333333,71.16666666666667,0.075833333,0.033,0.156,154414.1772,97604.86322,102112.7711,2017,1,9,0,3,4
9/1/2017 1:00,15.061666666666667,69.82,0.074833333,0.066,0.137,136672.4051,84769.60485999999,92079.03615,2017,1,9,1,3,4
9/1/2017 2:00,14.968333333333334,69.18833333333333,0.074833333,0.055,0.145,129958.481,77901.51976,87261.68674,2017,1,9,2,3,4
9/1/2017 3:00,14.951666666666666,72.2,0.0745,0.062,0.145,124502.27848000001,75373.86018,82797.10843,2017,1,9,3,3,4
